APNIC Allocated Address Table
-----------------------------

Origin AS       Network
 45528          1.22.22.0/24
 45528          1.22.23.0/24
 45528          1.22.24.0/23
 45528          1.22.24.0/24
 45528          1.22.25.0/24
 45528          1.22.26.0/24
 45528          1.22.27.0/24
 45528          1.22.28.0/23
 45528          1.22.28.0/24
 45528          1.22.29.0/24
 45528          1.22.30.0/24
 45528          1.22.31.0/24
 45528          1.22.32.0/22
 45528          1.22.32.0/24
 45528          1.22.33.0/24
 45528          1.22.34.0/24
 45528          1.22.35.0/24
 45528          1.22.36.0/24
 45528          1.22.37.0/24
 45528          1.22.38.0/23
 45528          1.22.40.0/22
 45528          1.22.40.0/24
 45528          1.22.41.0/24
 45528          1.22.42.0/24
 45528          1.22.43.0/24
 45528          1.22.44.0/24
 45528          1.22.45.0/24
 45528          1.22.46.0/24
 45528          1.22.47.0/24
 45528          1.22.48.0/23
 45528          1.22.48.0/24
 45528          1.22.49.0/24
 45528          1.22.50.0/24
 45528          1.22.51.0/24
 45528          1.22.52.0/24
 45528          1.22.53.0/24
 45528          1.22.54.0/24
 45528          1.22.55.0/24
 45528          1.22.57.0/24
 45528          1.22.58.0/23
 45528          1.22.58.0/24
 45528          1.22.59.0/24
 45528          1.22.60.0/22
 45528          1.22.60.0/24
 45528          1.22.61.0/24
 45528          1.22.62.0/24
 45528          1.22.63.0/24
 45528          1.22.64.0/22
 45528          1.22.64.0/24
 45528          1.22.65.0/24
 45528          1.22.66.0/24
 45528          1.22.67.0/24
 45528          1.22.68.0/23
 45528          1.22.68.0/24
 45528          1.22.70.0/23
 45528          1.22.70.0/24
 45528          1.22.71.0/24
 45528          1.22.72.0/23
 45528          1.22.72.0/24
 45528          1.22.73.0/24
 45528          1.22.74.0/23
 45528          1.22.74.0/24
 45528          1.22.75.0/24
 45528          1.22.76.0/22
 45528          1.22.76.0/24
 45528          1.22.77.0/24
 45528          1.22.78.0/24
 45528          1.22.79.0/24
 45528          1.22.80.0/24
 45528          1.22.81.0/24
 45528          1.22.82.0/24
 45528          1.22.83.0/24
 45528          1.22.84.0/22
 45528          1.22.84.0/24
 45528          1.22.85.0/24
 45528          1.22.86.0/24
 45528          1.22.87.0/24
 45528          1.22.88.0/23
 45528          1.22.88.0/24
 45528          1.22.89.0/24
 45528          1.22.90.0/24
 45528          1.22.91.0/24
 45528          1.22.92.0/22
 45528          1.22.92.0/24
 45528          1.22.93.0/24
 45528          1.22.94.0/23
 45528          1.22.94.0/24
 45528          1.22.95.0/24
 45528          1.22.96.0/21
 45528          1.22.96.0/22
 45528          1.22.96.0/24
 45528          1.22.97.0/24
 45528          1.22.98.0/24
 45528          1.22.99.0/24
 45528          1.22.100.0/22
 45528          1.22.100.0/24
 45528          1.22.101.0/24
 45528          1.22.102.0/24
 45528          1.22.103.0/24
 45528          1.22.104.0/21
 45528          1.22.104.0/24
 45528          1.22.105.0/24
 45528          1.22.106.0/24
 45528          1.22.107.0/24
 45528          1.22.108.0/24
 45528          1.22.109.0/24
 45528          1.22.110.0/24
 45528          1.22.111.0/24
 45528          1.22.112.0/23
 45528          1.22.112.0/24
 45528          1.22.113.0/24
 45528          1.22.114.0/23
 45528          1.22.114.0/24
 45528          1.22.115.0/24
 45528          1.22.116.0/24
 45528          1.22.117.0/24
 45528          1.22.118.0/24
 45528          1.22.119.0/24
 45528          1.22.120.0/22
 45528          1.22.120.0/23
 45528          1.22.120.0/24
 45528          1.22.121.0/24
 45528          1.22.122.0/24
 45528          1.22.123.0/24
 45528          1.22.124.0/24
 45528          1.22.125.0/24
 45528          1.22.126.0/24
 45528          1.22.127.0/24
 45528          1.22.128.0/22
 45528          1.22.128.0/24
 45528          1.22.129.0/24
 45528          1.22.130.0/24
 45528          1.22.131.0/24
 45528          1.22.132.0/23
 45528          1.22.133.0/24
 45528          1.22.134.0/24
 45528          1.22.135.0/24
 45528          1.22.136.0/24
 45528          1.22.137.0/24
 45528          1.22.138.0/24
 45528          1.22.139.0/24
 45528          1.22.140.0/23
 45528          1.22.140.0/24
 45528          1.22.141.0/24
 45528          1.22.142.0/23
 45528          1.22.142.0/24
 45528          1.22.143.0/24
 45528          1.22.144.0/21
 45528          1.22.144.0/24
 45528          1.22.145.0/24
 45528          1.22.146.0/24
 45528          1.22.147.0/24
 45528          1.22.148.0/24
 45528          1.22.149.0/24
 45528          1.22.150.0/24
 45528          1.22.151.0/24
 45528          1.22.152.0/24
 45528          1.22.153.0/24
 45528          1.22.154.0/24
 45528          1.22.155.0/24
 45528          1.22.156.0/24
 45528          1.22.157.0/24
 45528          1.22.158.0/24
 45528          1.22.159.0/24
 45528          1.22.160.0/24
 45528          1.22.161.0/24
 45528          1.22.162.0/24
 45528          1.22.163.0/24
 45528          1.22.164.0/22
 45528          1.22.164.0/24
 45528          1.22.165.0/24
 45528          1.22.166.0/24
 45528          1.22.167.0/24
 45528          1.22.168.0/23
 45528          1.22.168.0/24
 45528          1.22.169.0/24
 45528          1.22.170.0/24
 45528          1.22.171.0/24
 45528          1.22.172.0/24
 45528          1.22.173.0/24
 45528          1.22.174.0/23
 45528          1.22.174.0/24
 45528          1.22.175.0/24
 45528          1.22.176.0/23
 45528          1.22.176.0/24
 45528          1.22.177.0/24
 45528          1.22.178.0/24
 45528          1.22.179.0/24
 45528          1.22.180.0/24
 45528          1.22.181.0/24
 45528          1.22.182.0/23
 45528          1.22.182.0/24
 45528          1.22.184.0/23
 45528          1.22.184.0/24
 45528          1.22.185.0/24
 45528          1.22.186.0/23
 45528          1.22.186.0/24
 45528          1.22.187.0/24
 45528          1.22.188.0/24
 45528          1.22.189.0/24
 45528          1.22.190.0/23
 45528          1.22.190.0/24
 45528          1.22.191.0/24
 45528          1.22.192.0/23
 45528          1.22.192.0/24
 45528          1.22.193.0/24
 45528          1.22.194.0/23
 45528          1.22.194.0/24
 45528          1.22.195.0/24
 45528          1.22.196.0/24
 45528          1.22.197.0/24
 45528          1.22.198.0/24
 45528          1.22.199.0/24
 45528          1.22.200.0/23
 45528          1.22.200.0/24
 45528          1.22.202.0/23
 45528          1.22.202.0/24
 45528          1.22.203.0/24
 45528          1.22.204.0/23
 45528          1.22.204.0/24
 45528          1.22.205.0/24
 45528          1.22.206.0/24
 45528          1.22.207.0/24
 45528          1.22.208.0/23
 45528          1.22.208.0/24
 45528          1.22.209.0/24
 45528          1.22.210.0/24
 45528          1.22.212.0/23
 45528          1.22.212.0/24
 45528          1.22.213.0/24
 45528          1.22.214.0/24
 45528          1.22.215.0/24
 45528          1.22.216.0/21
 45528          1.22.216.0/24
 45528          1.22.217.0/24
 45528          1.22.218.0/24
 45528          1.22.219.0/24
 45528          1.22.220.0/24
 45528          1.22.221.0/24
 45528          1.22.222.0/24
 45528          1.22.223.0/24
 45528          1.22.228.0/24
 45528          1.22.229.0/24
 45528          1.22.230.0/24
 45528          1.22.231.0/24
 45528          1.22.232.0/23
 45528          1.22.232.0/24
 45528          1.22.233.0/24
 45528          1.22.234.0/24
 45528          1.22.235.0/24
 45528          1.22.236.0/22
 45528          1.22.236.0/23
 45528          1.22.236.0/24
 45528          1.22.237.0/24
 45528          1.22.238.0/24
 45528          1.22.239.0/24
